"category";"total";"aggregate";"all_other_fossil_fuel_based_materials";"all_other_materials";"all_other_metals";"all_other_minerals";"aluminum";"bitumen";"bricks";"concrete";"copper";"glass";"iron_steel";"other_biomass_based_materials";"timber"
"street_bridge_other";12129588,6393433;2058583,3657608;0;0;0;0;0;0;0;8769837,48077393;0;0;1301160,09789276;0;0
"street_cycleway";1125111,28134155;1102715,90151978;0;0;0;0;0;22394,7701282501;0;0;0;0;0;0;0
"street_footway";3116956,77978516;3054908,86893463;0;0;0;0;0;62041,1839748621;0;0;0;0;0;0;0
"street_gravel";30782378,2592773;30578368,0393066;0;0;0;0;0;204022,840371132;0;0;0;0;0;0;0
"street_living_street";45524,5178833008;44672,6633453369;0;0;0;0;0;851,852250337601;0;0;0;0;0;0;0
"street_motorway";71589312,0115967;70372549,9776611;0;0;0;0;0;1216829,13423347;0;0;0;0;0;0;0
"street_motorway_elevated";438607,654785156;418007,094116211;0;0;0;0;0;20594,8004722595;0;0;0;0;0;0;0
"street_motorway_link";5565948,94824219;5471195,35253906;0;0;0;0;0;94747,1407318115;0;0;0;0;0;0;0
"street_other";556015811,54541;545373212,913574;0;0;0;0;0;10642673,3603058;0;0;0;0;0;0;0
"street_other_elevated";937494,51899147;890619,672605515;0;0;0;0;0;46874,7099788189;0;0;0;0;0;0;0
"street_pedestrian";368960,67225647;362025,252151489;0;0;0;0;0;6874,04899680614;0;0;0;0;0;0;0
"street_primary";84913687,3007812;83108014,6425781;0;0;0;0;0;1805869,07855225;0;0;0;0;0;0;0
"street_primary_link";53393,757232666;52235,456451416;0;0;0;0;0;1158,42747783661;0;0;0;0;0;0;0
"street_residential";101669989,49585;99724050,854248;0;0;0;0;0;1946063,55171204;0;0;0;0;0;0;0
"street_secondary";149692069,145508;146801612,766602;0;0;0;0;0;2890607,70845032;0;0;0;0;0;0;0
"street_secondary_link";347062,993118286;340361,415817261;0;0;0;0;0;6701,92200303078;0;0;0;0;0;0;0
"street_tertiary";169595381,188873;166349485,518158;0;0;0;0;0;3246225,9291501;0;0;0;0;0;0;0
"street_tertiary_link";441703,505523682;433249,046585083;0;0;0;0;0;8454,64778852463;0;0;0;0;0;0;0
"street_trunk";68224427,171875;67065405,8125;0;0;0;0;0;1158943,74829102;0;0;0;0;0;0;0
"street_trunk_link";2681459,93615723;2635808,89929199;0;0;0;0;0;45645,5059108734;0;0;0;0;0;0;0
"street_tunnel";2039033,69003296;0;0;0;0;0;0;0;0;1964952,87763977;0;0;74078,7787790298;0;0
"street";1265609780,71875;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
